tweet,hate_speech,offensive_language,neither,mentions,hashtags,original_tweet
<MENTION> get worshiping bitch <URL> woof woof,0,1,0,['@BitchJones92'],[],"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
<MENTION> wow <MENTION> i m lost are those buttcheek piercings <URL> yeah she s a hoe,0,1,0,"['@BlackChiquitita', '@thatmanpalmer']",[],"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
<MENTION> ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her,0,1,0,['@BlackNerdJade'],[],"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
<MENTION> <MENTION> <MENTION> queer gaywad,1,0,0,"['@Blackman38Tide', '@WhaleLookyHere', '@HowdyDowdy11']",[],"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
<MENTION> <MENTION> faggot read my tweets after dat k it wasn t even funny lol,0,1,0,"['@BrokenPiecesmsc', '@ItsNotAdam']",[],"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
<MENTION> this bitch was so ungrateful <URL> fr lulwhore,0,1,0,['@BrosConfessions'],[],"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
<MENTION> i been kidnapped yo bitch,0,1,0,['@CASHandBOOBIES'],[],"""@CASHandBOOBIES: I been kidnapped yo bitch"""
<MENTION> <MENTION> alsarabsss hes a beaner smh you can tell hes a mexican,1,0,0,"['@CB_Baby24', '@white_thunduh']",[],"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
<MENTION> when ur teacher tells u that u have homework <URL> this bitch need to go,0,1,0,['@CHlLDHOODRUINER'],[],"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
<MENTION> what would y all lil ugly bald headed bitches do if they stop making make up weave,0,1,0,['@CanIFuckOrNah'],[],"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up & weave?"""
<MENTION> leafs better win this damn game so i can go riot and shit # earlychristmas you better start looting my nig,0,1,0,['@CarelessOne92'],['#EarlyChristmas'],"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
<MENTION> on my way to fuck yo bitch <URL> me as a 9 year old,0,1,0,['@CauseWereGuys'],[],"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
<MENTION> <MENTION> how come you never bring me food i dont have a car retard,0,1,0,"['@CeleyNichole', '@white_thunduh']",[],"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
<MENTION> how bout them cowboys shutup pussy,0,1,0,['@ChandlerParsons'],[],"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
<MENTION> let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again,0,1,0,['@Coley_Cee'],[],"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
<MENTION> harlem shake is just an excuse to go full retard for 30 seconds,0,1,0,['@ComedyPosts'],[],"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
<MENTION> amen miley ? <URL> but she don t need to act like a hoe just bc she s emotionally damaged foh,0,1,0,['@ComedyTruth'],[],"""@ComedyTruth: amen miley ? http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
<MENTION> check out our 12th man # cowboysnation even with all those faggot ny fans in the stands,0,1,0,['@DBAB_Holloway'],['#CowboysNation'],"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
<MENTION> what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,0,1,0,['@DGotBricks'],[],"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
<MENTION> <MENTION> im the bitch okay nudes pat ??? wow,0,1,0,"['@DaeDaviDavie', '@white_thunduh']",[],"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat ???"" wow"
<MENTION> <MENTION> you re fucking gay blacklisted hoe holding out for # tehgodclan anyway <URL>,1,0,0,"['@DevilGrimz', '@VigxRArts']",['#TehGodClan'],"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
<MENTION> the fuck be wrong with these bitches nobody knows,0,1,0,['@DiamondLoudKush'],[],"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
<MENTION> yall shut up p make me bitch,0,1,0,['@Dietrich1892'],[],"""@Dietrich1892: Yall shut up:p"" make me bitch"
<MENTION> i hate a i m pregnant type of bitch,0,1,0,['@DionaIrish'],[],"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
<MENTION> got bitches in the dm but i don t ever read em which is y your top 3,0,1,0,['@DoYou_Q'],[],"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
<MENTION> baseball season for the win # yankees this is where the love started,0,0,1,['@DomWorldPeace'],['#Yankees'],"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
<MENTION> she really asked me that dead ass serious tho all i could say was bitch wheet lol,0,1,0,['@DreadheadAri'],[],"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
<MENTION> i m an early bird and i m a night owl so i m wise and have worms,0,0,1,['@DunderbaIl'],[],"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
<MENTION> overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day,0,0,1,['@EdgarPixar'],[],"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
<MENTION> pit bulls photographed as lovely fairy tale creatures <URL> they are fairy tale creatures,0,0,1,['@El_Grillo1'],[],"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh”

They *are* fairy tale creatures."
<MENTION> as long as the lakers trash from now on i could careless and that s real cc <MENTION> hahaha,0,0,1,"['@FloKid88', '@BENBALLER']",[],"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
<MENTION> <MENTION> i didn t say anything tho kiss me then faggot,0,1,0,"['@Frosstyy_', '@h0rheyd']",[],"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
<MENTION> i could go for a fat ass bitch on my lap same,0,1,0,['@G27Status'],[],"""@G27Status: I could go for a fat ass bitch on my lap"" same"
<MENTION> 17 missed calls ?? das yo p o bitch twitter finna be screamn # freemoneymelle,0,1,0,['@GEDMelle'],['#FreeMoneyMelle'],"""@GEDMelle: 17 missed calls!!!! ??""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
<MENTION> ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao ????,0,1,0,['@GTM_Al'],[],"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao ????"
<MENTION> <MENTION> 3 amo los pies <URL> fuck yeah,0,1,0,"['@GagaTom1', '@MaleFoot']",[],"""@GagaTom1: “@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i”"" fuck yeah"
<MENTION> these hoes be thinking meat won t slap they ass ?? ainna bruh,0,1,0,['@GirlThatsVonte'],[],"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass ??"" ainna bruh"
<MENTION> yall bitches wit no edges be doing the most talking ?? ???,0,1,0,['@GirlThatsVonte'],[],"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking ???""???"
<MENTION> you a woulda coulda shoulda ass hoe ??,0,1,0,['@Goofstroop'],[],"""@Goofstroop: You a woulda coulda shoulda ass hoe ??"""
<MENTION> happy bday bitch ass nigga <MENTION> preciate that bitch roll up,0,1,0,"['@Gotti_LTF', '@JetsAndASwisher']",[],"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
<MENTION> <MENTION> nigga you know we hacky sack hoes nah i throw no look passes lmao,0,1,0,"['@HaloTGMG', '@1stName_Bravo']",[],"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
<MENTION> glad i m getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em,0,1,0,['@HeartlessFuck'],[],"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in & outta jail & dumb bitches with mad kids fuckin em."""
<MENTION> this isn t ghetto it s smart <URL> i m doing this idc,0,0,1,['@HermosaAlma'],[],"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
<MENTION> i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place,0,1,0,['@HiImJoriB'],[],"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
<MENTION> being single isn t an excuse to be a hoe <MENTION>,0,1,0,"['@HornyFacts', '@TheOneMiss_Luu']",[],"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
<MENTION> white boy power bitch black power bitch,0,1,0,['@HoskinsTy96'],[],"""@HoskinsTy96: White boy power bitch"" black power bitch"
<MENTION> <MENTION> if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off ???? by <MENTION>,0,1,0,"['@ItsYahBoiRay', '@anelylove', '@anelylove']",[],"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off ????"" *by @anelylove *"
<MENTION> # oomf is soooo cute but he probably has hoes on him a lot,0,1,0,['@Itsyesie'],['#oomf'],"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
<MENTION> in every cartoon theirs alway a <MENTION> saving these hoes lmao <URL> lmao damn captain saveahoe,0,1,0,"['@JAYten9', '@_nuffsaid15']",[],"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
<MENTION> who wants to get there nose in these bad bois then # scally # chav # sockfetish # stinking <URL> hot sox and legs,0,0,1,['@JReebo'],"['#scally', '#chav', '#sockfetish', '#stinking']","""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
<MENTION> if you dressed up as a cat for halloween you are basic or a pussy,0,1,0,['@JasminePore'],[],"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
<MENTION> can pornhub just get a gaming stream feature so these dumb bitches can gtfo <MENTION> get on it katie<3,0,1,0,"['@Jewelxo', '@Pornhub']",[],"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie<3"
<MENTION> you re not a man if you refer to every girl as a bitch,0,1,0,['@KelsieBelsi'],[],"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
<MENTION> peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash,0,0,1,['@KeyshawnSwag'],[],"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
<MENTION> <MENTION> io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,0,1,0,"['@KingCuh', '@16stanleys']",[],"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
<MENTION> <MENTION> naw it s my old tape new cover my upcoming mixtape is # kingofthehill yeah i m waiting on that hoe mayne,0,1,0,"['@KingHendo95', '@VonDreaam']",['#KingOfTheHill'],"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
<MENTION> ol dirty foot ass bitches this was too funny to me,0,1,0,['@KingTeej_'],[],"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
<MENTION> <MENTION> that s where i get my yellow flags for being amazing ?? hell yeah niggy,0,1,0,"['@King_Shawn_6', '@white_thunduh']",[],"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing ??"" HELL YEAH NIGGY"
<MENTION> don t got time for bitches to be actin iffy,0,1,0,['@KissMySmilee'],[],"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
<MENTION> # ucfpinkpa y come on stay alive knights nation this is still the early bird special # comeatmeut,0,0,1,['@KnightfanNeal'],"['#UCFPINKPA', '#ComeAtMeUT']","""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
<MENTION> these hoes ain t loyal no they ain t <URL> smfh wonder why nobody decent wants them,0,1,0,['@KyraNadiya_'],[],"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh & wonder why nobody decent wants them"
<MENTION> gucci mane in jail and dropping mixtapes every month and you hoes can t even text back,0,1,0,['@LaFlareGodJosh'],[],"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
<MENTION> easy cum easy hoe that s a fact,0,1,0,['@LiLFridayHOE'],[],"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !"
<MENTION> fuck twerking bitch can you cook,0,1,0,['@Lil_Mike_12'],[],"""@Lil_Mike_12: Fuck twerking bitch can you cook ?"""
<MENTION> <MENTION> bitch wtf <URL>,0,1,0,"['@Linniekravitz', '@WesGodLaFlare']",[],"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB"
<MENTION> <MENTION> <MENTION> shut up zoe fight me pussy for zoe i m good man you are good ma am move along now,0,1,0,"['@Lipe_the_Great', '@h0rheyd', '@Lipe_the_Great']",[],"""@Lipe_the_Great: “@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy” for zoe? I'm good, man."" You are good ma'am. Move along now"
<MENTION> lmao fucking snake bitches <MENTION>,0,1,0,"['@LolaaIsDope', '@em']",[],"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
<MENTION> big booty hoes everywhere sheesh ? damn ???,0,1,0,['@Loveable_Aizah'],[],"""@Loveable_Aizah: Big booty hoes everywhere sheesh ?"" damn ???"
<MENTION> <MENTION> i play soccer cheat on girls and wear khaki coloured cargos haircut <URL> yes lmfao <MENTION>,0,0,1,"['@M_Rad', '@DezDLT', '@soccerboy_04']",[],"""@M_Rad: “@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW” yes lmfao""@soccerboy_04"
<MENTION> oregon chokes every year get off the field trash ass program rft,0,1,0,['@MadFlyentist'],[],"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT"
<MENTION> def not cowboy lol <MENTION> terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo,0,1,0,"['@MannyDiesel', '@ArtofFloyd']",[],"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle & Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
<MENTION> lmfaoooo i hate black people <URL> this is why there s black people and niggers,1,0,0,['@MarkRoundtreeJr'],[],"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
<MENTION> <URL> a pissed lad past out i would lick his dirty soles while he slept,0,0,1,['@MaxMayo77'],[],"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
<MENTION> <URL> sexy lad with hot soles and arches,0,0,1,['@MaxMayo77'],[],"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
<MENTION> <MENTION> nah fam i gotta cheat with the hoes depends on the female i feel,0,1,0,"['@MegamindNick', '@white_thunduh']",[],"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
<MENTION> <MENTION> ????? i got hicks lol,0,0,1,"['@Mesha_nojas', '@_Vontethekidd']",[],"""@Mesha_nojas: @_Vontethekidd ?????"" I got hicks lol"
<MENTION> but what if he actually does choose the ugly bitch over you her ass must be fat,0,1,0,['@MikelaHenry'],[],"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? ?""Her ass must be fat!"
<MENTION> bitch couldn t kill my vibe if ya tried ??? dis why i love miley,0,1,0,['@MileyCyrus'],[],"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. ???"" dis why i love miley :*"
